complex,simple,lang
التعليم هو أساس التقدم في أي مجتمع,التعليم مهم جدا,ar
تعتبر الصحة من أهم الأولويات في الحياة,الصحة مهمة,ar
التكنولوجيا تطورت بشكل كبير في السنوات الأخيرة,التكنولوجيا تطورت,ar
الاقتصاد يعتمد بشكل كبير على التجارة الدولية,الاقتصاد يعتمد على التجارة,ar
البيئة تحتاج إلى حماية مستمرة من التلوث,حماية البيئة مهمة,ar
التعاون بين الدول يساعد على حل المشاكل العالمية,التعاون الدولي مفيد,ar
الابتكار هو مفتاح النجاح في العصر الحديث,الابتكار مهم للنجاح,ar
التواصل الفعال يساعد على بناء علاقات قوية,التواصل الجيد مفيد,ar
العمل الجاد يؤدي إلى تحقيق الأهداف,العمل الجاد يحقق الأهداف,ar
المعرفة هي القوة الحقيقية في العالم,المعرفة قوة,ar
القراءة توسع الآفاق وتزيد الوعي,القراءة مفيدة,ar
الرياضة تحافظ على صحة الجسم,الرياضة صحية,ar
الأسرة هي الأساس في المجتمع,الأسرة مهمة,ar
الصداقة الحقيقية تدوم طويلا,الصداقة قوية,ar
الاحترام مفتاح العلاقات الجيدة,الاحترام مهم,ar
الصبر مفتاح النجاح,الصبر مفيد,ar
الأمل يقود إلى النجاح,الأمل مهم,ar
التخطيط ضروري للنجاح,التخطيط مفيد,ar
التعلم المستمر مهم للتقدم,التعلم ضروري,ar
العمل الجماعي أفضل من الفردي,العمل الجماعي مفيد,ar
